(0.242225,60818.1)
(-0.156271,38566.9)
(-0.108372,35355.8)
(0.464244,74204.1)
(0.0152899,32372.1)
(0.0626133,13343.4)
(0.390673,35811.6)
(-0.0847028,70051.1)
(-0.461595,31953)
(-0.473812,45377.4)
(0.127491,69265.2)
(-0.39188,56989.1)
(0.0801351,86518.4)
(-0.336722,69239.7)
(-0.407724,50369.5)
(0.228149,129038)
(-0.217495,89429.7)
(0.161032,45461.3)
(-0.244867,34729.5)
(-0.404627,47946.1)
(0.196325,39876.9)
(-0.418948,40192.5)
(0.166923,63085)
(-0.28783,30356.5)
(-0.0370174,40356.4)
(0.390994,51953)
(-0.202995,57024.2)
(0.1191,56502.8)
(-0.408554,73262.3)
(-0.384257,17169.8)
(0.085887,68953)
(0.476637,150584)
(-0.0100828,146753)
(0.285904,112388)
(-0.132237,187460)
(-0.396106,205115)
(0.196261,204858)
(-0.398615,206419)
(0.0631812,193535)
(0.406021,176740)
(-0.116687,175613)
(0.230558,132213)
(-0.183027,181031)
(-0.403893,148601)
(0.395569,149201)
(0.14636,155971)
(-0.291489,60810.1)
(0.0396714,91781.5)
(-0.210205,19113.5)
(-0.346904,112650)
(0.161495,66715.3)
(0.468233,65076.6)
(-0.0680979,15617.8)
(0.0223046,73490.2)
(0.484081,109200)
(-0.0434161,107214)
(0.395012,51981.3)
(-0.273331,49260.6)
(0.247598,33391.1)
(0.317411,7378.69)
(-0.0106652,16408.2)
(-0.146418,19241.2)
(-0.454025,24731.8)
(-0.0838982,12291)
(0.425219,48427.3)
(0.0167404,40231.7)
(0.305309,13995.7)
(-0.142168,17689.6)
(-0.140474,22554.4)
(-0.477621,23923.2)
(0.484462,21687.1)
(0.0978146,32248.6)
(-0.458946,17483.3)
(0.0436191,14641.8)
(-0.115825,9090.62)
(-0.441002,11751.3)
(0.185062,890.575)
(0.282591,6429.44)
(-0.0385297,4670.3)
(0.0187327,3982.24)
(-0.289088,10603.2)
(0.495951,3840.33)
(0.37284,11661.4)
(0.0102053,3866.19)
(0.0677557,8576.26)
(0.446869,4982.59)
(-0.14373,12237.6)
(0.271967,5206.98)
(-0.37907,9175.62)
(0.0649845,5438.85)
(-0.386114,6134.43)
(0.363233,7664.1)
(0.240178,1449.37)
(0.096279,8940.46)
(-0.377734,638.604)
(-0.137262,8194.88)
(-0.333985,2696.49)
(0.49835,3671.91)
(-0.406482,6535.43)
(0.17212,8976.82)
(-0.487789,4059.76)
(-0.0688783,4774.33)
(0.327361,4026.88)
(0.0293447,3399.58)
(-0.265579,3793.42)
(0.0388128,2498.18)
(-0.389924,2503.63)
(-0.368421,3337.06)
(0.328419,1430.57)
(0.271604,5105.86)
(-0.269371,5589.49)
(0.190624,7767.5)
(-0.324492,3853.81)
(0.0745263,3819.36)
(-0.0904585,2084.27)
(-0.27158,5986.08)
(0.438443,6125.77)
(0.183593,4211.07)
(-0.146821,4532.01)
(0.41312,4110.83)
(-0.248721,1036.85)
(0.192955,2058.81)
(0.194939,4025.77)
(-0.226648,5801.43)
(0.0488774,4038.7)
(-0.475897,6725.91)
(-0.0623597,3429.36)
(-0.0422942,1351.4)
(0.472817,7704.2)
(-0.153587,3440.02)
(0.228345,11799.3)
(-0.249188,7867.21)
(0.0909094,4927)
(0.269857,761.61)
(-0.196125,6561.26)
(-0.352275,4293.41)
(0.453888,7203.34)
(0.313851,5680.27)
(0.0353664,8688.9)
(-0.475752,6035.34)
(0.0191234,8065.16)
(-0.457488,2511.68)
(-0.188297,5613.33)
(0.31771,3785.35)
(-0.291844,6779.21)
(0.336623,6422.29)
(0.0529554,2068.18)
(-0.432125,1106.08)
(0.230512,3598.73)
(-0.0902784,4746.33)
(0.393624,3753.28)
(-0.105713,6133.65)
(-0.467391,960.949)
