(-2783,-1062.49)
(2355.52,-2748.85)
(695.675,2164.42)
(-3857.5,-375.168)
(1543.15,-2060.23)
(1285.9,3243.4)
(-2786.64,17.6788)
(1867.12,-2152.83)
(1790.16,1864.31)
(-2702.11,568.036)
(967.322,-3177.84)
(2032.06,1957.86)
(-2975.87,831.985)
(2.70882,-3546.54)
(2486.2,2976.34)
(-3329.67,533.364)
(562.073,-1792.26)
(3111.19,1290.73)
(-2448.17,1680.89)
(181.74,-3705.05)
(2925.27,1080.52)
(-3309.68,1386.79)
(-944.5,-3007.31)
(3189.53,2169.06)
(-2398.72,1535.96)
(-532.593,-2648.13)
(3262.04,1079.73)
(-1906.78,1551.79)
(-1357.53,-2533.95)
(3619.1,297.366)
(-2446.45,2116.57)
(-723.974,-2382.16)
(2433.6,-741.843)
(-1684.04,3237.15)
(-1973.12,-2548.49)
(3258.22,385.173)
(-839.345,2847.23)
(-1592.27,-2393.93)
(3395.88,-804.156)
(-918.236,2060.66)
(-2769.19,-2065.73)
(2556.95,-1135.02)
(-1008.01,3904.45)
(-1569.48,-1900.14)
(2757.92,-1324.74)
(-1253.78,2720.73)
(-912.229,-90.8959)
(1966.1,-2469.65)
(1423.21,2085.07)
(-3866.58,-834.708)
(1663.87,-2561.27)
(1435.69,3408.31)
(-4738.79,-143.348)
(4031.58,-2283.82)
(152.883,3242.87)
(-2203.04,-1001.36)
(1212.12,-1974.43)
(2292.4,2100.85)
(-3741.08,476.882)
(2330.74,-3927.27)
(752.45,2662.32)
(-4168.92,121.661)
(1367.05,-1238.47)
(2990.48,2338.65)
(-3398.03,344.455)
(1717.59,-2852.07)
(2049.52,2516.55)
(-1984.93,-1000.09)
(-494.95,-2383.84)
(869.152,942.858)
(-1482.81,2872)
(-1159.71,-2941.33)
(3719.06,1393.25)
(-2165.44,2363.01)
(-701.074,-3450.37)
(4186.39,963.74)
(-2764.48,1284.19)
(-1095.21,-3350.91)
(2014.69,517.136)
(-1309.02,3197.27)
(-2810.77,-3110.24)
(4204.62,1093.13)
(-1306.53,3921.23)
(-992.723,-4170.79)
(4330.08,-560.469)
(-3178.62,2839)
(-1242.93,-3384.35)
(2919.45,-555.58)
(-3433.8,4004.31)
(-183.743,-1914.6)
(3461.92,-177.639)
(-1654.16,1948.55)
(-744.671,-1265.56)
(1770.22,-1358.53)
(1308.52,2304.1)
(-4140.91,-2390.64)
(2160.01,-686.732)
(862.275,2998.42)
(-3862.16,-935.367)
(3380.41,-1959.81)
(70.5856,4045.55)
(-1924.4,-1772.88)
(2279.17,-2300.81)
(-21.3706,3016.3)
(-1580.23,-1121.6)
(135.341,-2282.08)
(1768.25,2621.25)
(-2880.24,666.812)
(1013.25,-3468.29)
(1491.22,3138.84)
(-2136.33,1095.51)
(270.965,-3298.57)
(4149.61,1717.16)
(-4657.08,995.205)
(13.9872,-3493.38)
(5167.47,2628.73)
(-5946.09,462.422)
(1835.68,-3873.82)
(887.053,2069.54)
(-3796.79,4421.64)
(2950.42,-3872.5)
(4318.34,1647.23)
(-3601.91,-1555.86)
(-2653.2,-1750)
(5228.91,1180.04)
(-4125.1,1837.38)
(-2161.44,-3660.48)
(4775.2,3783.19)
(-2134.47,1693.51)
(-416.092,-3730.34)
(4369.02,518.45)
(-3490.92,1497.25)
(-1197.03,-2483.02)
(3186.72,-649.286)
(-2185.54,4087.92)
(-2553.51,-3652.85)
(4867.31,1226.25)
(-2103.85,2516.16)
(-1629.86,-2951.43)
(3085.14,25.6229)
(11.8008,3049.89)
(-3033.32,-2827.56)
(3749,-1708.48)
(-973.829,3656.25)
(-3831.32,-2451.81)
(3302.53,-1541.09)
(-430.922,5471.99)
(-2927.16,-2519.39)
(4315.89,-1057.87)
(1001.18,2927.2)
(-4185.33,-2299.56)
(3467.3,-3272.48)
(-520.048,4752.63)
(-4161.76,-2364.63)
(2589.1,-1129.58)
(1471.38,4405.72)
(-3818.19,-1558.59)
(3388.72,-2146.87)
(963.264,3572.44)
(-2125.58,-870.368)
(1569.62,-4313.62)
(1498.03,2695.49)
(-5537.68,-171.715)
(1095.4,-2015.39)
(2763.93,4447.19)
(-2401.09,517.966)
(1126.27,-4352.04)
(3032.44,3129.36)
(-2959.39,821.518)
(157.893,-5777.48)
(2308.62,3663.15)
(-3553.12,1131.09)
(-328.982,-4245.35)
(2567.03,2901.4)
(-3071.99,3807.71)
(1009.44,-4744.73)
(4525.85,2121.48)
(-3010.93,1142.57)
(-1543.44,-4938.5)
(4328.64,2492.62)
(-3436.64,482.761)
(-3110.35,-2095.83)
(5130.12,313.887)
(-4044.29,5792.78)
(1009.87,-4823.18)
(3818.89,584.841)
(-1495.26,3326.83)
(-1796.99,-5068.54)
(3827.09,-440.41)
(-3008.43,3061.31)
(-3300.1,-2691.27)
(3608.62,-38.5047)
(-859.78,5257.79)
(-2451.38,-2250.03)
(5241.5,-2482.35)
(371.842,5644.66)
(-4736.64,-5828.79)
(6222.29,-1151.81)
(-3849.6,2905.43)
(-4510.16,-2111.51)
(4039.51,498.246)
(-166.578,5257.65)
(-1220.06,-2647.12)
(3838.24,-2159.61)
(-657.984,1886.85)
(-2642.96,209.806)
(2105.88,-4152.56)
(772.253,2811.5)
(-4235.92,1315.86)
(486.57,-4701.8)
(4437.45,6230.19)
(-5363.15,-1082.77)
(2290.09,-3488.89)
(4039.57,3366.97)
(-6109.36,1021.83)
(3329.88,-4270.74)
(4457.4,1014.72)
(-8189.28,1866.09)
(1717.36,-5767.98)
(2858.62,5277.17)
(-5273.72,2429.14)
(2033.38,-4673.72)
(4945.32,3831.7)
(-3407.75,1749.09)
(-195.585,-7163.77)
(6186.76,3138.08)
(-7694.54,-486.042)
(-1016.75,-2955.35)
(4500.49,2767.6)
(-4631.47,3174.3)
(-1198.53,-2122.26)
(7574.17,1194.21)
(-1982.81,4149.54)
(-396.879,-7615.87)
(4241.06,-2187.93)
(-5683.06,3093.02)
(-7813.94,35.1066)
(12530.6,167.414)
(-4246.19,5419.48)
(-4601.19,-9179.5)
(4018.81,6639.58)
(2925.34,4126.25)
(-3275.2,-4212.17)
(8234.3,-6431.31)
(-3722.13,4563.99)
(-10334,-5571.64)
(6940.16,1453.06)
(-3969.65,7643)
(-2283.64,289.554)
(7737.06,-2165.96)
(5656.93,3638.44)
(-10017.5,-2633.64)
(14562.7,-9928.85)
(-12401.5,-1057.5)
(-11176.6,10430.6)
(9873.35,-7816.15)
(-570.452,17394.6)
(6164.16,-6217.8)
(-1849.92,-15766.5)
(-2226.68,17871.7)
